County,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Crime Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany County,1990,157200,151500,5600,3.6,14418,1524,12,119,450,943,12894,3163,9021,710,Non-New York City
Albany County,1991,154700,146800,7900,5.1,15464,1674,13,90,584,987,13790,3271,9768,751,Non-New York City
Albany County,1992,156400,149000,7400,4.7,16249,1588,11,96,561,920,14661,3450,10406,805,Non-New York City
Albany County,1993,156600,150300,6300,4,15139,1669,8,80,557,1024,13470,3235,9562,673,Non-New York City
Albany County,1994,156800,151200,5600,3.6,16724,1771,13,102,646,1010,14953,3401,10744,808,Non-New York City
Albany County,1995,155600,149500,6100,3.9,16699,1606,9,77,643,877,15093,3178,11030,885,Non-New York City
Albany County,1996,156500,151400,5100,3.3,13676,1408,11,64,557,776,12268,2911,8645,712,Non-New York City
Albany County,1997,159300,154200,5100,3.2,14542,1450,10,128,503,809,13092,2789,9674,629,Non-New York City
Albany County,1998,159200,155200,3900,2.5,13733,1310,3,103,475,729,12423,2767,9077,579,Non-New York City
Albany County,1999,158300,154100,4200,2.7,14145,1133,13,73,435,612,13012,2845,9509,658,Non-New York City
Albany County,2000,154500,150000,4500,2.9,14096,1353,12,79,487,775,12743,2489,9619,635,Non-New York City
Albany County,2001,155300,149500,5800,3.8,13733,1649,7,83,533,1026,12084,2427,8889,768,Non-New York City
Albany County,2002,157300,151300,6000,3.8,12784,1706,10,78,547,1071,11078,2180,8140,758,Non-New York City
Albany County,2003,156700,150000,6600,4.2,11977,1402,11,51,436,904,10575,2068,7883,624,Non-New York City
Albany County,2004,158400,152000,6400,4,12710,1431,14,77,481,859,11279,1991,8612,676,Non-New York City
Albany County,2005,159300,153300,5900,3.7,12119,1615,13,96,511,995,10504,2044,7890,570,Non-New York City
Albany County,2006,158500,153100,5400,3.4,11935,1545,5,71,455,1014,10390,1742,8204,444,Non-New York City
